"280,585;""129"";""30 เม.ย.2015 23:00"";""7.7"";""5.9"";""181.0"";""31.8"";""87.0"";""ปกติ"""
"280,698;""129"";""1 พ.ค.2015 00:00"";""7.7"";""5.9"";""181.0"";""31.7"";""87.0"";""ปกติ"""
"280,812;""129"";""1 พ.ค.2015 01:00"";""7.7"";""5.9"";""181.0"";""31.7"";""89.0"";""ปกติ"""
"280,925;""129"";""1 พ.ค.2015 02:00"";""7.7"";""5.9"";""181.0"";""31.6"";""85.0"";""ปกติ"""
"281,040;""129"";""1 พ.ค.2015 03:00"";""7.7"";""5.8"";""181.0"";""31.6"";""85.0"";""ปกติ"""
"281,155;""129"";""1 พ.ค.2015 04:00"";""7.7"";""5.8"";""182.0"";""31.5"";""86.0"";""ปกติ"""
"281,270;""129"";""1 พ.ค.2015 05:00"";""7.7"";""5.7"";""181.0"";""31.4"";""84.0"";""ปกติ"""
"281,384;""129"";""1 พ.ค.2015 06:00"";""7.7"";""5.7"";""181.0"";""31.4"";""87.0"";""ปกติ"""
"281,498;""129"";""1 พ.ค.2015 07:00"";""7.7"";""5.7"";""181.0"";""31.5"";""92.0"";""ปกติ"""
"281,613;""129"";""1 พ.ค.2015 08:00"";""7.7"";""5.6"";""180.0"";""31.6"";""92.0"";""ปกติ"""
"281,727;""129"";""1 พ.ค.2015 09:00"";""7.7"";""5.6"";""180.0"";""31.8"";""93.0"";""ปกติ"""
"281,841;""129"";""1 พ.ค.2015 10:00"";""7.7"";""5.6"";""180.0"";""32.1"";""96.0"";""ปกติ"""
"281,956;""129"";""1 พ.ค.2015 11:00"";""7.7"";""5.6"";""179.0"";""32.4"";""100.0"";""ปกติ"""
"282,070;""129"";""1 พ.ค.2015 12:00"";""7.7"";""5.6"";""179.0"";""32.6"";""102.0"";""ปกติ"""
"282,185;""129"";""1 พ.ค.2015 13:00"";""7.7"";""5.6"";""179.0"";""32.9"";""97.0"";""ปกติ"""
"282,300;""129"";""1 พ.ค.2015 14:00"";""7.7"";""5.6"";""178.0"";""32.8"";""95.0"";""ปกติ"""
"282,418;""129"";""1 พ.ค.2015 15:00"";""7.7"";""5.6"";""179.0"";""33.0"";""94.0"";""ปกติ"""
"282,537;""129"";""1 พ.ค.2015 16:00"";""7.7"";""5.6"";""179.0"";""32.8"";""96.0"";""ปกติ"""
"282,657;""129"";""1 พ.ค.2015 17:00"";""7.7"";""5.6"";""178.0"";""32.6"";""91.0"";""ปกติ"""
"282,776;""129"";""1 พ.ค.2015 18:00"";""7.7"";""5.7"";""179.0"";""32.4"";""89.0"";""ปกติ"""
"282,893;""129"";""1 พ.ค.2015 19:00"";""7.7"";""5.7"";""179.0"";""32.3"";""90.0"";""ปกติ"""
"283,011;""129"";""1 พ.ค.2015 20:00"";""7.7"";""5.8"";""179.0"";""32.3"";""86.0"";""ปกติ"""
"283,129;""129"";""1 พ.ค.2015 21:00"";""7.7"";""5.9"";""179.0"";""32.3"";""83.0"";""ปกติ"""
"283,245;""129"";""1 พ.ค.2015 22:00"";""7.7"";""6.0"";""180.0"";""32.2"";""81.0"";""ปกติ"""
"283,365;""129"";""1 พ.ค.2015 23:00"";""7.7"";""5.9"";""180.0"";""32.2"";""82.0"";""ปกติ"""
"283,485;""129"";""2 พ.ค.2015 00:00"";""7.8"";""6.0"";""180.0"";""32.2"";""79.0"";""ปกติ"""
"283,605;""129"";""2 พ.ค.2015 01:00"";""7.7"";""6.0"";""180.0"";""32.1"";""77.0"";""ปกติ"""
"283,725;""129"";""2 พ.ค.2015 02:00"";""7.7"";""5.9"";""180.0"";""32.0"";""78.0"";""ปกติ"""
"283,843;""129"";""2 พ.ค.2015 03:00"";""7.7"";""5.8"";""181.0"";""31.9"";""76.0"";""ปกติ"""
"283,963;""129"";""2 พ.ค.2015 04:00"";""7.7"";""5.8"";""181.0"";""31.8"";""72.0"";""ปกติ"""
"284,080;""129"";""2 พ.ค.2015 05:00"";""7.7"";""5.8"";""181.0"";""31.8"";""68.0"";""ปกติ"""
"284,197;""129"";""2 พ.ค.2015 06:00"";""7.7"";""5.7"";""181.0"";""31.7"";""70.0"";""ปกติ"""
"284,315;""129"";""2 พ.ค.2015 07:00"";""7.7"";""5.7"";""181.0"";""31.7"";""72.0"";""ปกติ"""
"284,434;""129"";""2 พ.ค.2015 08:00"";""7.7"";""5.7"";""180.0"";""31.9"";""75.0"";""ปกติ"""
"284,553;""129"";""2 พ.ค.2015 09:00"";""7.7"";""5.7"";""179.0"";""32.1"";""74.0"";""ปกติ"""
"284,670;""129"";""2 พ.ค.2015 10:00"";""7.7"";""5.7"";""179.0"";""32.3"";""75.0"";""ปกติ"""
"284,789;""129"";""2 พ.ค.2015 11:00"";""7.8"";""5.7"";""178.0"";""32.7"";""76.0"";""ปกติ"""
"284,909;""129"";""2 พ.ค.2015 12:00"";""7.7"";""5.7"";""178.0"";""32.8"";""78.0"";""ปกติ"""
"285,028;""129"";""2 พ.ค.2015 13:00"";""7.7"";""5.6"";""178.0"";""33.0"";""79.0"";""ปกติ"""
